"number","name","cmt","desc","symbol","url","Latitude","Longitude"
4612,"Aapelinsaari","Waste disposal,  Outhouse toilet,  Campfire site,",,"naturharbor",,"61.741667","29.323333"
5019,"Ahkiolahti",,,"pier",,"63.203627","27.221256"
5209,"Aholansaari","Cafe, Sauna, Cottages","Home of Paavo Ruotsalainen","guestharbor",,"63.313628","28.043299"
,"Ahoniemi",,,"pier",,"62.157346","29.602178"
5850,"Ahvenlahti","Waste disposal,  Outhouse toilet, ",,"naturharbor",,"63.336667","29.688333"
5710,"Ahverninen","Cafe,",,"pier",,"62.943528","30.115416"
,"Ainno-Acten",,,"pier",,"61.865611","28.899616"
5134,"Alatalo",,,"pier",,"63.010306","28.222664"
4280,"Antola",,,"marina",,"61.583639","27.652283"
4263,"Anttolanhovi",,,"marina",,"61.574406","27.601471"
5895,"Aronsalmi","Cottages,",,"pier",,"63.484317","29.045579"
,"Arvinsalmi",,,"pier",,"62.394208","29.570806"
4205,"Astuvansalmi","Outhouse toilet,  Landing stage","( Pss) rock paintings, not for a overnight stay","petroglyphs","https://drive.google.com/open?id=1p3-XklRymsnF-d6CyO_oN68tvy9D8XJDRA","61.444237","27.543019"
4588,"Casinosaari","Hotel, Septic,",,"marina",,"61.870073","28.886977"
,"Eevansaari",,,"naturharbor",,"61.862767","29.487676"
5468,"Enonkoski",,,"marina",,"62.091103","28.913870"
4814,"Haapanlahti",,,"pier",,"62.162570","27.873216"
4529,"Haislahti","Service, Fuel, Drinking water, Cafe, boat parts Shop,",,"marina",,"61.867706","28.873931"
,"Haislahti K-Sity market",,"mostly free","pier",,"61.867918","28.872086"
4464,"Hakovirta","Waste disposal,  Outhouse toilet,  Landing stage","(PSS)","naturharbor",,"61.745000","28.361667"
4597,"Harjun Portti","Fuel, Septic, Sauna,",,"marina",,"61.802540","29.295801"
4808,"Harronsaari","Outhouse toilet,  Campfire site","National park","naturharbor",,"62.222209","28.157386"
,"Hasanniemi","Fuel, Septic, Restaurant, Caravan, Sauna, Shore pover",,"marina","https://drive.google.com/open?id=1hJ4jfhOxHBZjdW84efXM3RVBoFEFy3Dfmw","62.590986","29.737930"
4885,"Hauto-Koisti ","Waste disposal,  Outhouse toilet,  Campfire site,  Landing stage,  Buoys, Sauna, Shelter","(PSS) wilderness hut ","guestharbor","https://drive.google.com/open?id=1dLaGKLIkGAF8Smvtch4MB869vWVw6YgWIQ","62.771717","27.808634"
,"Heikkoniemi",,,"naturharbor",,"63.313493","28.014954"
4285,"Heimari","Hotel, Restaurant, Sauna,",,"guestharbor",,"61.588254","27.289949"
5027,"Heiskalansaari ","Waste disposal,  Outhouse toilet,  Campfire site,  Landing stage,  Buoys,",,"naturharbor",,"63.435000","27.305000"
5844,"Heklansaari ","Waste disposal,  Outhouse toilet,  Campfire site","(PSS)","naturharbor",,"63.310000","29.626667"
5057,"Hepomäki","Waste disposal, Campfire site, Landing stage,",,"naturharbor",,"63.688333","27.105000"
4340,"Heposaari","Waste disposal,  Outhouse toilet,  Campfire site, Landing stage","(PSS)","guestharbor",,"61.578964","27.852933"
5772,"Herranniemi","Grocery, Cafe, Sauna, Fuel for carrying,",,"marina",,"63.147073","29.986991"
